Ticket	Open Time	Type	Size	Item	Price	S / L	T / P	Close Time	Price	Commission	Taxes	Swap	Profit
3899944	2012.12.07 11:18	sell	3	eurusdpro	1.2915	0	0	2012.12.07 11:21	1.29216	-24	0	0	-16 311
3899932	2012.12.07 11:12	buy	1	eurusdpro	1.29251	0	0	2012.12.07 11:20	1.29192	-8	0	0	-4 860
3899908	2012.12.07 11:03	sell	1	eurjpypro	106.463	0	106.41	2012.12.07 11:04	106.46	-8	0	0	300
3899811	2012.12.07 10:01	sell	1	eurjpypro	106.59	0	0	2012.12.07 10:06	106.579	-8	0	0	1 100
3899765	2012.12.07 09:50	sell	1	eurjpypro	106.597	0	106.487	2012.12.07 09:59	106.569	-8	0	0	2 800
3899681	2012.12.07 09:24	sell	1	eurjpypro	106.462	106.562	106.362	2012.12.07 09:34	106.562	-8	0	0	-10 000
3899655	2012.12.07 09:18	sell	1	eurjpypro	106.528	0	0	2012.12.07 09:19	106.497	-8	0	0	3 100
3899652	2012.12.07 09:17	buy	1	eurjpypro	106.529	0	0	2012.12.07 09:17	106.54	-8	0	0	1 100
3899610	2012.12.07 09:05	sell	1	eurjpypro	106.492	0	106.4	2012.12.07 09:15	106.54	-8	0	0	-4 800
3899602	2012.12.07 09:03	buy	0.5	eurjpypro	106.541	0	0	2012.12.07 09:10	106.406	-4	0	0	-6 750
3899562	2012.12.07 08:57	sell	0.2	eurjpypro	106.459	0	0	2012.12.07 09:03	106.515	-2	0	0	-1 120
3899494	2012.12.07 08:30	buy	0.5	eurjpypro	106.379	0	0	2012.12.07 08:32	106.382	-4	0	0	150
3899447	2012.12.07 08:27	sell	0.2	eurjpypro	106.271	0	0	2012.12.07 08:30	106.344	-2	0	0	-1 460
3899372	2012.12.07 08:24	sell	0.2	eurusdpro	1.29269	0	0	2012.12.07 08:26	1.29259	-2	0	0	165
3899356	2012.12.07 08:24	sell	0.2	eurusdpro	1.29349	0	0	2012.12.07 08:24	1.29342	-2	0	0	116
3899291	2012.12.07 08:00	buy	0.2	eurjpypro	106.566	106.5	106.666	2012.12.07 08:05	106.621	-2	0	0	1 100
3899228	2012.12.07 07:46	sell	0.2	eurusdpro	1.29358	0	0	2012.12.07 07:57	1.29345	-2	0	0	214
3899168	2012.12.07 07:36	sell	0.2	eurusdpro	1.29404	1.29404	0	2012.12.07 07:43	1.29338	-2	0	0	1 087
