close price,close time,comment,commission,expiration,lots,magic number,open price,open time,profit,stop loss,swap,symbol,take profit,ticket,order type
82.545,2012.11.30 15:02,,-2,1970.01.01 00:00,0.2,0,82.535,2012.11.30 15:02,200,0,0,USDJPYpro,0,3878317,0
82.445,2012.11.30 15:07,,-2,1970.01.01 00:00,0.2,0,82.454,2012.11.30 15:07,180,0,0,USDJPYpro,0,3878383,1
1.30176,2012.11.30 15:13,,-1,1970.01.01 00:00,0.1,0,1.30134,2012.11.30 15:11,-347,1.3019,0,EURUSDpro,1.3011,3878424,1
1.30189,2012.11.30 15:21,,-2,1970.01.01 00:00,0.2,0,1.30154,2012.11.30 15:19,578,0,0,EURUSDpro,0,3878539,0
82.56,2012.11.30 15:41,to #3878646,-2,1970.01.01 00:00,0.3,0,82.49,2012.11.30 15:26,2100,82.495,0,USDJPYpro,83.575,3878571,0
82.54,2012.11.30 15:42,from #3878571,-2,1970.01.01 00:00,0.2,0,82.49,2012.11.30 15:26,1000,82.495,0,USDJPYpro,83.575,3878646,0
1.30713,2012.12.04 07:03,,-2,1970.01.01 00:00,0.2,0,1.30649,2012.12.04 06:56,-1050,0,0,EURUSDpro,0,3885116,1
1.30679,2012.12.04 07:48,,-2,1970.01.01 00:00,0.2,0,1.30736,2012.12.04 07:42,-935,0,0,EURUSDpro,0,3885235,0
82.003,2012.12.04 07:50,,-2,1970.01.01 00:00,0.2,0,82.036,2012.12.04 07:49,660,0,0,USDJPYpro,0,3885268,1
81.954,2012.12.04 07:55,,-2,1970.01.01 00:00,0.2,0,81.977,2012.12.04 07:50,460,0,0,USDJPYpro,0,3885279,1
81.946,2012.12.04 08:00,,-2,1970.01.01 00:00,0.2,0,81.947,2012.12.04 07:58,20,0,0,USDJPYpro,81.905,3885328,1
81.927,2012.12.04 08:12,,-2,1970.01.01 00:00,0.2,0,81.88,2012.12.04 08:02,-940,0,0,USDJPYpro,81.835,3885362,1
81.96,2012.12.04 08:32,,-2,1970.01.01 00:00,0.2,0,81.91,2012.12.04 08:16,1000,81.91,0,USDJPYpro,81.965,3885436,0
82.209,2012.12.05 04:46,to #3888924,-1,1970.01.01 00:00,0.1,0,82.235,2012.12.05 04:30,260,82.27,0,USDJPYpro,82.18,3888891,1
1.31155,2012.12.05 04:51,,-2,1970.01.01 00:00,0.2,0,1.31162,2012.12.05 04:35,115,1.312,0,EURUSDpro,1.311,3888902,1
82.18,2012.12.05 04:49,from #3888891,-1,1970.01.01 00:00,0.1,0,82.235,2012.12.05 04:30,550,82.27,0,USDJPYpro,82.18,3888924,1
1.31134,2012.12.05 07:01,to #3889250,-1,1970.01.01 00:00,0.1,0,1.31104,2012.12.05 06:23,247,1.3103,0,EURUSDpro,1.31165,3889152,0
1.31165,2012.12.05 07:07,from #3889152,-1,1970.01.01 00:00,0.1,0,1.31104,2012.12.05 06:23,503,1.31104,0,EURUSDpro,1.31165,3889250,0
82.243,2012.12.05 09:00,,-2,1970.01.01 00:00,0.2,0,82.229,2012.12.05 08:50,-280,0,0,USDJPYpro,0,3889566,1
82.258,2012.12.05 09:21,,-2,1970.01.01 00:00,0.2,0,82.198,2012.12.05 09:07,-1200,0,0,USDJPYpro,0,3889721,1
1.30554,2012.12.06 07:13,,-2,1970.01.01 00:00,0.2,0,1.30573,2012.12.06 07:02,-313,1.3053,0,EURUSDpro,1.306,3893727,0
82.416,2012.12.06 07:20,,-2,1970.01.01 00:00,0.2,0,82.447,2012.12.06 07:11,620,0,0,USDJPYpro,82.41,3893740,1
1.30526,2012.12.06 07:17,,-2,1970.01.01 00:00,0.2,0,1.30554,2012.12.06 07:15,461,0,0,EURUSDpro,0,3893751,1
82.418,2012.12.06 07:51,,-4,1970.01.01 00:00,0.5,0,82.424,2012.12.06 07:45,300,0,0,USDJPYpro,0,3893869,1
82.433,2012.12.06 07:56,,-2,1970.01.01 00:00,0.2,0,82.42,2012.12.06 07:53,260,82.387,0,USDJPYpro,82.465,3893894,0
1.30708,2012.12.06 10:28,to #3894461,-1,1970.01.01 00:00,0.1,0,1.30765,2012.12.06 10:07,469,1.3081,0,EURUSDpro,1.3061,3894416,1
1.30765,2012.12.06 10:55,from #3894416,-1,1970.01.01 00:00,0.1,0,1.30765,2012.12.06 10:07,0,1.30765,0,EURUSDpro,1.3065,3894461,1
1.30645,2012.12.06 12:45,,-2,1970.01.01 00:00,0.2,0,1.30584,2012.12.06 12:44,-1005,1.30725,0,EURUSDpro,0,3894928,1
1.30766,2012.12.06 12:54,,-2,1970.01.01 00:00,0.2,0,1.30633,2012.12.06 12:46,-2191,0,0,EURUSDpro,0,3894947,1
1.3076,2012.12.06 12:54,,-8,1970.01.01 00:00,1,0,1.30706,2012.12.06 12:50,4447,0,0,EURUSDpro,0,3894958,0
1.30823,2012.12.06 13:03,,-1,1970.01.01 00:00,0.1,0,1.30818,2012.12.06 13:02,41,0,0,EURUSDpro,0,3895026,0
82.366,2012.12.06 13:24,,-2,1970.01.01 00:00,0.2,0,82.324,2012.12.06 13:05,-840,82.366,0,USDJPYpro,82.274,3895050,1
1.30626,2012.12.06 13:45,,-1,1970.01.01 00:00,0.1,0,1.30643,2012.12.06 13:41,140,0,0,EURUSDpro,0,3895272,1
1.2969,2012.12.07 04:22,,-2,1970.01.01 00:00,0.2,0,1.29682,2012.12.07 03:57,132,0,0,EURUSDpro,1.29695,3898662,0
82.479,2012.12.07 04:49,cancelled,0,1970.01.01 00:00,1,0,82.495,2012.12.07 04:40,0,0,0,USDJPYpro,0,3898717,3
82.459,2012.12.07 05:47,,-2,1970.01.01 00:00,0.2,0,82.469,2012.12.07 05:26,200,0,0,USDJPYpro,82.44,3898783,1
82.412,2012.12.07 05:58,,-8,1970.01.01 00:00,1,0,82.422,2012.12.07 05:49,1000,0,0,USDJPYpro,82.412,3898817,1
1.29585,2012.12.07 06:01,,-1,1970.01.01 00:00,0.1,0,1.29575,2012.12.07 05:59,-83,0,0,EURUSDpro,0,3898853,1
1.29554,2012.12.07 06:03,cancelled,0,1970.01.01 00:00,0.5,0,1.29545,2012.12.07 06:02,0,0,0,EURUSDpro,0,3898882,5
82.415,2012.12.07 06:10,,-4,1970.01.01 00:00,0.5,0,82.382,2012.12.07 06:04,-1650,82.415,0,USDJPYpro,82.33,3898893,1
82.445,2012.12.07 06:17,,-8,1970.01.01 00:00,1,0,82.406,2012.12.07 06:11,-3900,82.445,0,USDJPYpro,82.365,3898919,1
1.29547,2012.12.07 06:18,,-8,1970.01.01 00:00,1,0,1.29532,2012.12.07 06:18,-1236,0,0,EURUSDpro,0,3898930,1
1.29573,2012.12.07 06:45,,-8,1970.01.01 00:00,1,0,1.29547,2012.12.07 06:29,2143,1.2952,0,EURUSDpro,1.296,3898951,0
1.29405,2012.12.07 07:34,,-2,1970.01.01 00:00,0.2,0,1.29443,2012.12.07 07:33,626,0,0,EURUSDpro,0,3899136,1
1.29354,2012.12.07 07:38,to #3899168,-2,1970.01.01 00:00,0.3,0,1.29404,2012.12.07 07:36,1235,0,0,EURUSDpro,0,3899162,1
